[2022-11-21 00:47:38.342][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][57/1874] Scanning asset: [1545691539.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][58/1874] Scanning asset: [1547811311.HighwayBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][59/1874] Scanning asset: [1547811311.LargeRoadBridgeSuspensionPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][60/1874] Scanning asset: [1548237217.HighwayBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][61/1874] Scanning asset: [1548237217.LargeRoadBridgeSuspensionPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][62/1874] Scanning asset: [1554363713.LRT Main Pillar_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][63/1874] Scanning asset: [1558242745.HighwayBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][64/1874] Scanning asset: [1558242745.MediumBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][65/1874] Scanning asset: [1558244265.HighwayBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][66/1874] Scanning asset: [1558244265.MediumBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][67/1874] Scanning asset: [1559078925.LRT Pillar Single Tracks_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][68/1874] Scanning asset: [1562427362.HighwayBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][69/1874] Scanning asset: [1562427362.MediumBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][70/1874] Scanning asset: [1564029667.HighwayBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][71/1874] Scanning asset: [1564029667.MediumBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][72/1874] Scanning asset: [1577943878.32mRailAboveRoadPillarBlue_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][73/1874] Scanning asset: [1577943878.16mRailAboveRoadPillarBlue_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][74/1874] Scanning asset: [1580473628.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][75/1874] Scanning asset: [1580473628.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][76/1874] Scanning asset: [1582120213.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][77/1874] Scanning asset: [1582120213.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][78/1874] Scanning asset: [1592756128.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][79/1874] Scanning asset: [1592756128.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][80/1874] Scanning asset: [1597844928.HighwayBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][81/1874] Scanning asset: [1599208326.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
